sink_id,lat,lon,row,col,area_m2,max_depth_m,volume_m3,catchment_m2,rsi,gw_depth_m,ksat_mm_hr,recharge_score
105,13.28837375610223,77.5065079665397,288,150,761400,1.2,540640.0,76500.0,0.5778696434218036,7.750227343705266,19.393389349670993,312419.4440195639
178,13.25118350333968,77.52483359833573,426,218,314100,0.89,156008.0,2700.0,0.6165439008856447,7.750239624307804,16.49277433142651,96185.78088936766
78,13.30912483916539,77.51459280409678,211,180,161100,1.69,109732.0,17100.0,0.4631516503360689,7.750226165293918,6.380191536034333,50822.55689467752
116,13.286217799420342,77.54639316515461,296,298,130500,0.81,58454.0,43752600.0,0.7062006691781647,7.7502401746084635,23.050147913735348,41280.25391614044
57,13.323138557597655,77.56687475363253,159,374,53100,2.53,64260.0,35100.0,0.41876230370481454,7.750240052390821,21.090832209375147,26909.665636071382
61,13.32206057925671,77.55097457310362,163,315,16200,7.98,46125.0,12600.0,0.5250887855879866,7.750235246034306,21.34782906156131,24219.72023524588
40,13.337691265200393,77.5922072446447,105,468,75600,0.73,32471.0,7303500.0,0.7339364722580617,7.75024545339658,22.507489175572413,23831.651190691522
168,13.264388738016237,77.51728774994913,377,190,101700,0.57,36308.0,15300.0,0.6168202250240332,7.750234949214684,18.59803454048921,22395.508730172598
201,13.241212203685954,77.57145616158154,463,391,65700,0.6,25120.0,23422500.0,0.7441132341473655,7.750255921235245,20.91480003229567,18692.124441781823
111,13.292685669466003,77.5485491218365,272,306,72900,0.69,50301.0,17100.0,0.36445879509019696,7.750239705019788,6.380191536034333,18332.641851832
223,13.22719848525369,77.54504569222843,515,293,50400,0.68,21394.0,18000.0,0.6280144462778399,7.75025011724484,20.21251630667709,13435.741063668105
81,13.309394333750626,77.55555598105262,210,332,55800,0.53,17974.0,36150300.0,0.6560148515945627,7.750238938593294,19.594478826811407,11791.21094256067
94,13.30454343121638,77.50677746112494,228,151,71100,0.41,19468.0,2700.0,0.5913255092693318,7.750224546058981,21.849779065621036,11511.925014455352
67,13.316670687551994,77.60244803888367,183,506,48600,0.43,14211.0,1800.0,0.739001262764717,7.7502524210305905,20.303631219926253,10501.946945149393
29,13.34739307026888,77.54396771388748,69,289,55800,0.33,13338.0,11010600.0,0.6251187374222681,7.750228512034097,20.962048265496612,8337.833719738212
10,13.359520326604494,77.55393901354121,24,326,35100,0.87,18260.0,900.0,0.38303620513054704,7.750229469805488,6.380191536034333,6994.241105683789
36,13.341733683978928,77.58061897747956,90,425,16200,0.83,8730.0,900.0,0.6678527259970333,7.750241071172426,21.449000036225726,5830.354297954101
113,13.290529712784116,77.5800799883091,280,423,19800,0.77,8847.0,900.0,0.6419780027733496,7.750249982599812,19.801300593192835,5679.579390535824
120,13.285948304835106,77.48602637806178,297,74,18900,0.61,11529.0,10800.0,0.48805819128520267,7.750221410250311,19.1431638523123,5626.822887327102
160,13.270856608061898,77.5380388330123,353,267,10800,1.98,12861.0,1141200.0,0.42751613127323124,7.750240276059925,18.784532165023272,5498.284964305027
90,13.306699387898266,77.5493576055922,220,309,18000,0.75,7389.0,38159100.0,0.6627824546061025,7.75023747271852,23.516194847460465,4897.299557084491
114,13.290529712784116,77.52618107126192,280,223,12600,0.9,7623.0,682200.0,0.6308980692657825,7.7502330930262,22.11602386739475,4809.33598201306
59,13.322330073841949,77.53642186550088,162,261,38700,0.67,14903.0,7200.0,0.3103769740523535,7.7502306330939685,6.380191536034333,4625.548044302224
143,13.279480434789445,77.51674876077867,321,188,16200,0.71,7713.0,20700.0,0.5825740152404072,7.750232111522014,19.860052091605223,4493.39337954926
73,13.31505372004058,77.59274623381518,189,470,17100,0.59,10089.0,37800.0,0.20056321143397565,7.750249642188298,6.380191536034333,2023.4822401573804
