sink_id,lat,lon,row,col,area_m2,max_depth_m,volume_m3,catchment_m2,rsi,gw_depth_m,ksat_mm_hr,recharge_score
85,12.752618520653346,77.3313364861364,146,447,75600,1.9,63314.0,7200.0,0.7113711061193845,7.750264900015702,18.73557602245252,45039.75021284271
34,12.773100109131272,77.23997782174143,70,108,148500,1.65,66930.0,525600.0,0.5293957772472973,7.750235047598094,20.2401495282916,35432.4593711616
14,12.779837473762168,77.24509821886092,45,127,101700,1.33,66945.0,1854900.0,0.5212327493700164,7.750235431970369,20.25973295615742,34893.926406575745
110,12.734292888857308,77.281749482453,214,263,81900,1.33,57103.0,165600.0,0.5649670977186777,7.750253405133424,15.432171816675751,32261.31618102965
2,12.789808773415896,77.257764464367,8,174,54900,1.67,52326.0,2700.0,0.539949417687658,7.750237477565594,20.29771031052987,28253.393229924393
56,12.76474577698896,77.29764966298191,101,322,33300,2.55,47168.0,1800.0,0.5835015304382638,7.750253129065301,20.55103583913091,27522.60018771203
32,12.770405163278912,77.30034460883427,80,332,49500,1.22,31931.0,7759800.0,0.6755073869509568,7.750253001463419,20.883680963887258,21569.626372731003
307,12.661798845428862,77.30950742473229,483,366,14400,3.34,27954.0,454500.0,0.6691169544963469,7.750272945207127,14.150997360311798,18704.49534599088
58,12.764476282403724,77.23189298418437,102,78,62100,2.1,36568.0,3600.0,0.5083831916284269,7.75023411490621,19.829893569926245,18590.556551468315
183,12.71003837618608,77.32998901321021,304,442,45900,0.89,21087.0,1800.0,0.6827300335622817,7.7502712840882735,15.848945912092534,14396.728217727834
299,12.66395480211075,77.28417493372012,475,272,13500,2.57,17541.0,401400.0,0.6423584471423983,7.750265287354479,14.841132756936712,11267.609521324808
207,12.698180614435705,77.27635959074829,348,243,31500,1.0,18477.0,5400.0,0.5917470598128315,7.750257612203281,14.53027107835934,10933.710424161687
291,12.67096166132688,77.33160598072163,449,448,32400,0.73,13365.0,156891600.0,0.6826044002582672,7.750277913279842,12.23001669691877,9123.007809451741
116,12.73617935095396,77.2682747531912,207,213,102600,1.87,100524.0,89100.0,0.0708903497123571,7.750249200061738,6.380191536034333,7126.181514484984
271,12.6763515530316,77.21895724409305,429,30,26100,0.7,12239.0,339300.0,0.5102203735667965,7.750244582445877,15.009758911822024,6244.587152084023
160,12.716775740816978,77.2141063415588,279,12,24300,0.63,15309.0,900.0,0.3599701606196954,7.75023671457081,16.96838007111369,5510.783188926916
255,12.684436390588674,77.27609009616305,399,242,12600,1.39,9477.0,150300.0,0.577741503169588,7.750259717053059,13.422921487682652,5475.256225538186
117,12.738335307635849,77.28956482542483,199,292,11700,1.75,8649.0,122400.0,0.6156237613485173,7.750255023819955,18.686173773564278,5324.529911903326
277,12.675273574690657,77.3237906377498,433,419,11700,1.0,7803.0,103500.0,0.6440917920322425,7.750274967423801,13.55502688471481,5025.848253227588
196,12.702762022384713,77.2170707819964,331,23,11700,1.85,9855.0,3600.0,0.4904699256298545,7.750239817632666,17.107782358512228,4833.581117082216
130,12.728902997152591,77.29252926586243,234,303,10800,1.31,7902.0,28896300.0,0.5651675962420578,7.750257394105131,14.542990372648,4465.954345504741
147,12.724321589203582,77.25668648602607,251,170,12600,0.82,6570.0,6051600.0,0.5769709290322705,7.750247754841019,17.810675178396817,3790.6990037420173
182,12.710846859941787,77.27285616114021,301,230,9900,1.45,7335.0,20700.0,0.5016138896977441,7.750254581715576,14.739193370902493,3679.3378809329533
12,12.78361039795547,77.24078630549715,31,111,12600,1.36,6858.0,1800.0,0.5181485202151642,7.750233569645331,21.256595909149713,3553.4625516355964
243,12.686322852685326,77.224616630383,392,51,13500,1.12,9181.0,2700.0,0.2573717771322934,7.750244612453932,15.162601343730268,2362.9302858515857
