sink_id,lat,lon,row,col,area_m2,max_depth_m,volume_m3,catchment_m2,rsi,gw_depth_m,ksat_mm_hr,recharge_score
207,25.624757889858795,85.08361772503105,205,236,24674400,1.56,20098470.0,40500.0,0.4273142880238643,7.626666817525553,9.869770403136808,8588363.398418996
49,25.652246337552853,85.24477548700209,103,834,2847600,1.54,1938319.0,3600.0,0.6046188894303839,6.955816795389396,10.80306651206683,1171944.2811418122
510,25.56573857569214,85.24154155197925,424,822,4184100,1.61,1541436.0,13500.0,0.622473175836496,7.1465135293245465,10.85443069288488,959502.562268705
441,25.5932270233862,85.08792963839481,322,252,1324800,0.66,416675.0,20700.0,0.4418974617017556,7.249176514408405,6.380191536034333,184127.62485457901
114,25.659253196768983,85.2682215159176,77,921,291600,1.74,224586.0,146700.0,0.5966469798197939,7.299591832105917,11.153565360726066,133998.5586098082
226,25.643083521654837,85.28277422352033,137,975,460800,1.73,348156.0,45900.0,0.38041925936746973,7.5402075991600155,6.380191536034333,132445.2476643408
213,25.64523947833672,85.27388090220755,129,942,327600,1.13,296217.0,7200.0,0.38638016993027574,7.359908490440362,6.380191536034333,114452.37479623649
286,25.63203424366016,85.28034877225322,178,966,631800,0.99,256499.0,1139400.0,0.4238810235887925,7.549254852779308,6.380191536034333,108725.05866950168
275,25.63365121117158,85.17174245440317,172,563,360900,1.02,194617.0,15300.0,0.465923567287376,6.710435996500496,10.119686298340863,90676.64689476725
359,25.61667305230172,85.14614046880575,235,468,431100,1.55,312426.0,22500.0,0.2678565493257453,6.091055571409424,6.380191536034333,83685.35027964531
39,25.667068539740825,85.07553288747397,48,206,357300,0.71,127332.0,900.0,0.6229919781136918,7.8562508992107976,9.558587424038617,79326.8145571726
149,25.6503598754562,85.28115725600892,110,969,176400,2.13,203553.0,8100.0,0.36685003086217494,7.487949280439619,6.380191536034333,74673.4243320883
32,25.672727926030777,85.18144425947166,27,599,114300,1.97,163476.0,833400.0,0.4296581611875802,7.008227766938124,9.946120502155662,70238.79755830087
232,25.6428140270696,85.1690475085508,138,553,72000,2.45,118431.0,1431000.0,0.5789115933776371,6.750589654338956,10.706488379209363,68561.07891530693
374,25.61316962269365,85.09951790555996,248,295,1158300,0.42,385378.0,28800.0,0.15615296682127092,7.102285932729866,6.380191536034333,60177.91804764774
256,25.636346157023937,85.21540057721137,162,725,215100,0.88,102510.0,63900.0,0.5285023691916512,6.618037747182203,10.367651332016576,54176.777865836164
147,25.650090380870964,85.2224074364275,111,751,86400,3.56,108630.0,25200.0,0.493713450328063,6.814157388647574,10.733970151470226,53632.092109137484
296,25.632573232830637,85.02405942169392,176,15,54000,2.58,81279.0,900.0,0.6416366276079672,8.32793402212498,9.707343178747234,52151.58345534797
18,25.67650085022408,85.22456339310939,13,759,79200,2.26,85032.0,2700.0,0.5610216515281784,7.08416815286217,10.909220417222699,47704.79307274407
279,25.635537673268228,85.12808433159496,165,401,81000,1.45,115236.0,1800.0,0.38418639659861303,6.552744723536743,10.250075160694859,44272.103598437774
378,25.606701752647997,85.13024028827684,272,409,776700,0.58,270694.0,17100.0,0.1097877036028624,6.133695720854802,6.380191536034333,29718.872639073234
388,25.610474676841296,85.17174245440317,258,563,186300,1.22,96633.0,221400.0,0.2701379566961436,6.749893363294764,6.380191536034333,26104.241169418445
513,25.5751708861754,85.0930500355143,389,271,351000,0.38,95976.0,35100.0,0.22043928323719322,7.216294647782595,6.380191536034333,21156.880647972856
434,25.59888640967615,85.15287783343666,301,493,594000,0.36,154115.0,2700.0,0.1233757417229197,6.390494710616243,6.380191536034333,19014.052435627767
459,25.596191463823796,85.22456339310939,311,759,172800,3.6,171144.0,83700.0,0.03907705044728636,5.464963611410842,6.380191536034333,6687.802721750378
