sink_id,lat,lon,row,col,area_m2,max_depth_m,volume_m3,catchment_m2,rsi,gw_depth_m,ksat_mm_hr,recharge_score
14,14.277149389332587,76.3641204197249,70,123,48600,3.26,51740.0,900.0,0.352802481188221,7.749683063497531,11.570542359507892,18254.000376678556
148,14.171777006505367,76.47003179172259,461,516,10800,2.81,19755.0,29700.0,0.6524136413315468,7.749737411170866,13.442923172861542,12888.431484504707
74,14.239150652814333,76.37543919230481,211,165,63000,0.39,24571.0,3600.0,0.43510200028302115,7.749695329081554,13.826546438372919,10690.891248954113
98,14.219477548092112,76.37166626811151,284,151,13500,1.5,12258.0,425700.0,0.6070070167887949,7.74969902205564,14.935062691927458,7440.692011797048
117,14.203038378392726,76.39996319956127,345,256,11700,0.94,10998.0,900.0,0.6698584625730006,7.749710685008567,16.275226824413643,7367.103371377861
80,14.23726419071768,76.38002060025381,218,182,32400,1.06,34344.0,9900.0,0.21260685937741242,7.749697033991754,15.189158590741986,7301.769978457852
56,14.25612881168419,76.35064569046311,148,73,17100,1.43,12429.0,2417400.0,0.47587182950548695,7.749684480950152,12.305909492645272,5914.610968923697
19,14.274723938065463,76.45413161119367,79,457,17100,0.99,9504.0,109800.0,0.5678225608194576,7.7497084077288,11.293460831354366,5396.585618028125
109,14.208158775512208,76.39969370497603,326,255,11700,1.19,7614.0,900.0,0.7034333857885514,7.749709389259934,15.457302871992717,5355.941799394031
3,14.292241086105795,76.39619027536797,14,242,11700,0.92,7659.0,489600.0,0.48242013517239696,7.749688176790025,13.244646860809576,3694.8558152853884
36,14.265022132996974,76.34067439080938,115,36,13500,1.54,10332.0,900.0,0.3162099241069733,7.749679620864314,11.114255677764682,3267.080935873248
55,14.25612881168419,76.40670056419216,148,281,11700,0.45,3798.0,4500.0,0.6081745820374154,7.749699802887026,14.62313142717296,2309.8470625781038
21,14.273915454309757,76.3994242103908,82,254,9000,0.47,2781.0,1337400.0,0.5185010366813907,7.74969350831327,11.771732462686025,1441.9513830109474
54,14.257206790025132,76.42502619598821,144,349,37800,0.32,12096.0,9000.0,0.022951863652476624,7.74970458643863,6.380191536034333,277.6257427403572
