sink_id,lat,lon,row,col,area_m2,max_depth_m,volume_m3,catchment_m2,rsi,gw_depth_m,ksat_mm_hr,recharge_score
2,19.020523584068894,72.87928593804004,98,498,3932100,3.07,3846177.0,5032800.0,0.26051506197162266,7.747534642259609,6.380191536034333,1001987.0395088297
437,18.91245625538932,72.81460723758344,499,258,525600,5.68,955476.0,77400.0,0.2441348661250758,7.747575053575502,6.380191536034333,233265.00534572292
166,18.98441130964729,72.82053611845863,232,280,340200,0.95,179199.0,20623500.0,0.38996313265647725,7.747548033327944,6.380191536034333,69881.00340890807
281,18.954227916100876,72.81406824841297,344,256,112500,3.55,197937.0,9900.0,0.3276455121727411,7.747559362875089,6.380191536034333,64853.16974293586
248,18.960426291561298,72.84829406073793,321,383,270900,2.21,259092.0,900.0,0.1526362786668669,7.747557253428066,6.380191536034333,39546.83871235588
111,19.001658963102383,72.89410814022801,168,553,424800,1.28,251136.0,900.0,0.14996193082005774,7.747541910084139,6.380191536034333,37660.83945842602
386,18.930781887185358,72.82889045060094,431,311,72900,1.67,59076.0,857700.0,0.43273192759358564,7.747568285647126,6.380191536034333,25564.071354518666
326,18.94425661644715,72.82269207514051,381,288,87300,2.75,88983.0,2700.0,0.1907281494026504,7.747563170881516,6.380191536034333,16971.56291829604
36,19.02483549743267,72.84721608239698,82,379,318600,0.53,118152.0,15300.0,0.14362870993612442,7.747532862707144,6.380191536034333,16970.019336372974
405,18.92673946840681,72.83697528815802,446,341,9000,8.68,42012.0,1800.0,0.292047443264133,7.747569871444008,6.380191536034333,12269.497186412756
295,18.9536889269304,72.81703268885056,346,267,40500,3.1,37296.0,7200.0,0.2560222733182567,7.747559584509604,6.380191536034333,9548.606705677703
401,18.927547952162524,72.82673449391905,443,303,9000,6.76,27720.0,252900.0,0.3247976722206058,7.747569484859005,6.380191536034333,9003.391473955193
341,18.939675208498137,72.84020922318085,398,353,53100,2.1,51129.0,7200.0,0.1673263068440742,7.7475650247832615,6.380191536034333,8555.22674263067
76,19.017289649046063,72.88225037847764,110,509,9000,3.07,27630.0,4500.0,0.22714749568897707,7.747535888692534,6.380191536034333,6276.085305886437
370,18.93724975723101,72.8420956852775,407,360,27000,4.33,36216.0,1800.0,0.16635488431938278,7.74756595361778,6.380191536034333,6024.708490510767
209,18.97255354789691,72.85071951200504,276,392,50400,1.54,38457.0,81000.0,0.14363805532413162,7.7475526853400485,6.380191536034333,5523.88869360013
104,19.008935316903752,72.82538702099288,141,298,127800,0.23,24399.0,900.0,0.22166524735890644,7.747538796970516,6.380191536034333,5408.410370309958
353,18.942909143520968,72.84236517986274,386,361,26100,2.06,32625.0,900.0,0.15708825885738137,7.747563822093495,6.380191536034333,5125.004445222067
119,19.004353908954744,72.82996842894188,158,315,166500,0.3,33255.0,692100.0,0.13810071790864722,7.7475405481095905,6.380191536034333,4592.539374052063
144,18.99815553349432,72.81999712928815,181,278,104400,0.29,22914.0,386100.0,0.18842603362708787,7.747542845495612,6.380191536034333,4317.594134531091
336,18.943987121861912,72.84344315820367,382,365,34200,1.36,23346.0,900.0,0.15205127838190022,7.747563423739095,6.380191536034333,3549.7891451038427
307,18.95126347566328,72.803827454174,355,218,14400,4.09,18423.0,1800.0,0.17948701412234216,7.747560412670449,6.380191536034333,3306.68926117591
9,19.042622140058235,72.82323106431099,16,290,39600,1.2,27585.0,3600.0,0.1146780753719628,7.747526045686365,6.380191536034333,3163.394709135594
10,19.04127466713205,72.87281806799439,21,474,124200,0.32,26208.0,2700.0,0.0917689490757913,7.747526710188114,6.380191536034333,2405.0806173783385
6,19.043430623813943,72.83859225566943,13,347,36900,1.48,21339.0,8100.0,0.07303538071245756,7.747525779004247,6.380191536034333,1558.501989023132
