sink_id,lat,lon,row,col,area_m2,max_depth_m,volume_m3,catchment_m2,rsi,gw_depth_m,ksat_mm_hr,recharge_score
248,13.090564730539109,78.14736609023058,432,328,109800,13.73,447990.0,900.0,0.6536877082700538,7.750466884341518,20.85580943679792,292845.55642790144
113,13.153087474313828,78.13362186638354,200,277,347400,2.58,367135.0,2700.0,0.6867527865687852,7.750452648709354,22.21162758994607,252130.98429693098
84,13.1641367523085,78.14278468228156,159,311,126000,1.86,140787.0,149400.0,0.6672698025930806,7.750453999003326,19.727878443595078,93942.91369767203
154,13.120748124085525,78.06382276880746,320,18,116100,0.94,60875.0,3600.0,0.55891272949316,7.750434456290147,22.753089927125195,34023.81240789611
241,13.09568512765859,78.11125381580896,413,194,25200,1.1,27719.0,7200.0,0.5944257583423995,7.75045407549269,18.15377924305012,16476.88759549297
208,13.107003900238496,78.11853016961034,371,221,44100,2.45,24992.0,44100.0,0.6257000962597052,7.750454751228528,19.257225528619617,15637.496805722554
52,13.175994514058877,78.18913775094212,115,483,54000,0.93,22681.0,900.0,0.6652025835556076,7.750467766142737,16.746615533188614,15087.459797624735
114,13.156051914751425,78.16326627075948,189,387,19800,1.11,21978.0,27900.0,0.6584051432881581,7.750462135981789,18.329349399747848,14470.42823918714
87,13.16467574147897,78.11556572917274,157,210,130500,2.04,109458.0,22329000.0,0.13113297420849182,7.750444795361884,6.380191536034333,14353.553090913098
85,13.165214730649442,78.07136861719405,155,46,47700,0.72,21915.0,3600.0,0.575856447895516,7.750429969492265,24.29034686868831,12619.894055630233
229,13.09891906268142,78.07891446558067,401,74,9000,4.92,20655.0,3600.0,0.5686445017470126,7.750442850834266,21.411169191130853,11745.352183584546
124,13.15174000138765,78.14359316603726,205,314,58500,0.5,17064.0,68400.0,0.6812544831217963,7.750456199545804,21.05007834844886,11624.926499990332
138,13.138265272125857,78.1678476787085,255,404,31500,0.91,16011.0,36900.0,0.7056033262195348,7.750466424056361,19.34106494696287,11297.414856100972
250,13.091642708880054,78.1972225884992,428,513,44100,0.65,14282.0,900.0,0.7792529405894821,7.7504834071161905,17.60166360190119,11129.290497498983
33,13.188930254150195,78.12365056672982,67,240,18000,1.97,15876.0,900.0,0.4658328348694222,7.750443692875592,22.540681888656405,7395.562086386946
20,13.195937113366329,78.10855886995661,41,184,36000,0.54,10017.0,6300.0,0.5583203070394799,7.7504375263765715,19.940393145245118,5592.69451561447
313,13.069274658305476,78.11340977249085,511,202,15300,0.78,8127.0,900.0,0.6236281091947667,7.750458842553437,17.27747937836375,5068.22564342587
149,13.128293972472129,78.1514085090091,292,343,65700,4.27,126010.0,63900.0,0.03603383428760943,7.7504624468698005,21.8524624824155,4540.623458581665
69,13.17114361152463,78.1611103140776,133,379,22500,0.49,6633.0,3600.0,0.6781067063057938,7.75045906681721,19.877131763360754,4497.881782926331
283,13.077898485033025,78.08160941143302,479,84,30600,0.66,9630.0,1800.0,0.45111478585655884,7.750446991475576,20.51384406637561,4344.235387798662
44,13.18542682454213,78.18401735382264,80,464,26100,0.28,5733.0,305100.0,0.689661672347166,7.750464570750361,17.888491404286356,3953.830367566303
21,13.196206607951565,78.1355083284802,40,284,12600,0.99,6174.0,43200.0,0.5179974652640229,7.750446529729084,20.88143704999935,3198.1163505400773
73,13.168448665672273,78.0905027327458,143,117,139500,0.96,48515.0,336600.0,0.055083394415182126,7.75043583169943,24.462849865601235,2672.370880052561
179,13.11401075945463,78.09912655947335,345,149,62100,1.72,28672.0,2700.0,0.07170832908311173,7.750447213900294,6.380191536034333,2056.0212114709793
91,13.164406246893734,78.11691320209891,158,215,10800,1.72,13356.0,900.0,0.06999235997303394,7.7504452883084385,6.380191536034333,934.8179597998412
